ID,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
431,WV,2013,1583,430,1488,525,482,333,2014
432,WY,757,563,194,463,294,144,116,2014
433,AK,1956,1639,317,1342,614,222,180,2015
434,AL,3970,2943,1027,2868,1102,607,474,2015
435,AR,2560,1678,882,1833,727,623,456,2015
436,AZ,9896,6939,2957,6548,3348,1366,1220,2015
437,CA,115738,42039,73699,93156,22582,32227,11311,2015
438,CO,9953,7134,2819,5729,4224,1877,950,2015
439,CT,4047,3421,626,2719,1328,583,282,2015
440,DC,7298,6754,544,3821,3477,1790,408,2015
441,DE,953,916,37,602,351,80,79,2015
442,FL,35900,18883,17017,26325,9575,6540,3926,2015
443,GA,13790,7987,5803,9702,4088,2137,1548,2015
444,GU,1280,87,1193,306,974,153,23,2015
445,HI,7620,3777,3843,4307,3313,1534,692,2015
446,IA,3081,2878,203,1501,1580,275,207,2015
447,ID,1966,1497,469,1172,794,245,249,2015
448,IL,13177,10463,2714,8152,5025,1912,1226,2015
449,IN,5863,5280,583,3914,1949,703,790,2015
450,KS,2588,2283,305,1466,1122,379,311,2015
451,KY,4538,3796,742,3151,1387,457,591,2015
452,LA,4081,2890,1191,3217,864,773,392,2015
453,MA,21135,20542,593,6378,14757,2561,1133,2015
454,MD,8390,6594,1796,5383,3007,1847,714,2015
455,ME,2372,2313,59,1219,1153,217,151,2015
456,MI,10516,9444,1072,6546,3970,935,1067,2015
457,MN,7546,6705,841,3622,3924,1396,297,2015
458,MO,6482,5411,1071,3434,3048,1025,540,2015
459,MS,1983,1141,842,1475,508,243,206,2015
460,MT,1709,837,872,1127,582,166,277,2015
461,NC,10685,8260,2425,7156,3529,1364,1092,2015
462,ND,1305,819,486,864,441,138,137,2015
463,NE,2744,2621,123,1720,1024,322,247,2015
464,NH,1445,1313,132,778,667,317,138,2015
465,NJ,10098,9124,974,6189,3909,1410,696,2015
466,NM,2629,2175,454,1666,963,716,278,2015
467,NV,8743,4528,4215,7858,885,594,860,2015
468,NY,88250,84228,4022,36135,52115,7116,2399,2015
469,OH,11182,10083,1099,7565,3617,1275,1183,2015
470,OK,3777,2999,778,2781,996,581,351,2015
471,OR,13226,5831,7395,9461,3765,4011,1464,2015
472,PA,15421,13993,1428,8605,6816,1590,1375,2015
473,PR,4518,1421,3097,3929,589,1756,164,2015
474,RI,1111,1075,36,706,405,130,107,2015
475,SC,5354,3458,1896,3934,1420,1020,681,2015
476,SD,1036,900,136,630,406,95,177,2015
477,TN,9123,5879,3244,6516,2607,1650,945,2015
478,TX,23678,16192,7486,16265,7413,4304,2393,2015
479,UT,3025,2799,226,1809,1216,233,337,2015
480,VA,7001,6190,811,4190,2811,1158,604,2015
481,VI,337,85,252,308,29,22,34,2015
482,VT,1523,1373,150,910,613,166,119,2015
483,WA,19419,12298,7121,12526,6893,2482,1293,2015
484,WI,6057,5615,442,2992,3065,464,534,2015
485,WV,1835,1403,432,1414,421,386,305,2015
486,WY,798,507,291,500,298,102,112,2015
487,AK,1940,1498,442,1527,413,122,168,2016
488,AL,4111,2893,1218,3019,1092,420,373,2016
489,AR,2463,1616,847,1838,625,503,222,2016
490,AZ,9707,6463,3244,6659,3048,1395,1036,2016
491,CA,118142,39752,78390,97660,20482,31548,9612,2016
492,CO,10550,7611,2939,6450,4100,1829,1181,2016
493,CT,3902,3229,673,2570,1332,467,216,2016
494,DC,8350,8032,318,3683,4667,1597,350,2016
495,DE,1070,1019,51,753,317,74,107,2016
496,FL,33559,18198,15361,24201,9358,5895,2902,2016
497,GA,12909,7543,5366,9265,3644,1815,1055,2016
498,GU,1085,112,973,227,858,55,21,2016
499,HI,7921,3613,4308,4590,3331,1949,670,2016
500,IA,3064,2921,143,1543,1521,184,170,2016
501,ID,2247,1509,738,1284,963,337,267,2016
502,IL,11590,9736,1854,6986,4604,1024,949,2016
503,IN,5798,5107,691,3824,1974,589,663,2016
504,KS,2255,1973,282,1228,1027,362,169,2016
505,KY,4237,3531,706,2949,1288,382,512,2016
506,LA,3994,2853,1141,3176,818,570,400,2016
507,MA,19608,18848,760,6434,13174,2325,949,2016
508,MD,7689,6161,1528,4983,2706,1364,555,2016
509,ME,2241,2121,120,1321,920,217,146,2016
510,MI,9316,8356,960,5803,3513,776,822,2016
511,MN,7341,6452,889,3669,3672,873,279,2016
512,MO,6194,4978,1216,3810,2384,1136,575,2016
