State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
MN,7495,6567,928,3410,4085,1862,449,2011
MO,8989,6718,2271,4657,4332,1418,852,2011
MP, , , , , , , ,2011
MS,2306,1056,1250,1825,481,471,205,2011
MT,1768,1216,552,1094,674,324,251,2011
NC,12896,9245,3651,8303,4593,1476,1248,2011
ND,603,560,43,396,207,75,124,2011
NE,3548,3041,507,2210,1338,502,310,2011
NH,1469,1159,310,820,649,226,126,2011
NJ,14137,12830,1307,6841,7296,955,811,2011
NM,3601,2753,848,2246,1355,1117,364,2011
NV,9150,4545,4605,7973,1177,1353,1240,2011
NY,63445,59778,3667,27338,36107,4208,5765,2011
OH,13030,11224,1806,7812,5218,2014,1279,2011
OK,4625,2988,1637,3236,1389,793,356,2011
OR,17254,7012,10242,9445,7809,3739,1474,2011
PA,15096,14036,1060,7867,7229,1719,1392,2011
PR,2900,1034,1866,2346,554,3564,137,2011
RI,1070,1039,31,652,418,176,123,2011
SC,5093,2954,2139,3505,1588,645,612,2011
SD,826,762,64,460,366,34,109,2011
TN,9113,5915,3198,6475,2638,1757,965,2011
TX,36911,18972,17939,23577,13334,8223,4891,2011
UT,3130,2687,443,1842,1288,383,345,2011
VA,8816,7386,1430,5231,3585,1643,931,2011
VI,532,154,378,450,82,195,32,2011
VT,1144,1021,123,637,507,114,81,2011
WA,20439,15075,5364,10868,9571,2388,1478,2011
WI,5785,5355,430,2838,2947,497,607,2011
WV,2211,1405,806,1662,549,299,302,2011
WY,1038,195,843,320,718,104,83,2011
AK,1913,1716,197,1298,615,279,256,2012
AL,5209,3664,1545,3825,1384,969,526,2012
AR,4214,1602,2612,3428,786,437,362,2012
AZ,11302,8215,3087,6310,4992,1895,1478,2012
CA,120098,45890,74208,94888,25210,33356,14611,2012
CO,16768,7260,9508,5101,11667,1943,1512,2012
CT,4209,3514,695,2906,1303,944,332,2012
DC,6954,6275,679,3767,3187,2315,531,2012
DE,1008,986,22,611,397,100,66,2012
FL,55170,19832,35338,36771,18399,10054,5331,2012
GA,20516,8320,12196,15363,5153,3843,2297,2012
GU,1301,187,1114,255,1046,226,31,2012
HI,6246,3726,2520,3130,3116,949,507,2012
IA,2928,2780,148,1446,1482,307,217,2012
ID,1968,1482,486,1175,793,252,260,2012
IL,14144,11149,2995,8269,5875,2206,1147,2012
IN,6259,5370,889,3316,2943,545,687,2012
KS,2684,2350,334,1526,1158,371,373,2012
KY,5230,4319,911,3282,1948,629,440,2012
LA,7772,3807,3965,6322,1450,2893,899,2012
MA,17501,16779,722,6289,11212,2055,1181,2012
MD,9454,5942,3512,5727,3727,1407,617,2012
ME,2393,2360,33,1287,1106,233,116,2012
MI,12592,10270,2322,7397,5195,1370,1017,2012
MN,7744,6754,990,3540,4204,1718,309,2012
MO,10237,7893,2344,4855,5382,1632,899,2012
MP, , , , , , , ,2012
MS,2413,1042,1371,1794,619,501,244,2012
MT,1833,1153,680,1166,667,388,323,2012
NC,13524,8809,4715,8480,5044,1621,1413,2012
ND,688,635,53,485,203,86,160,2012
NE,3789,2957,832,2215,1574,501,249,2012
NH,1496,1329,167,832,664,274,127,2012
NJ,13025,11429,1596,6603,6422,1026,592,2012
NM,3245,2397,848,2136,1109,1072,345,2012
NV,8497,3970,4527,7493,1004,1725,1229,2012
NY,69566,65482,4084,30133,39433,4897,4961,2012
OH,13977,12246,1731,7855,6122,1982,1244,2012
OK,5032,3043,1989,3454,1578,569,404,2012
OR,15828,6545,9283,9788,6040,3302,1356,2012
PA,14736,13660,1076,7295,7441,2106,1456,2012
PR,3212,1346,1866,2494,718,3251,116,2012
RI,1277,1249,28,788,489,154,96,2012
SC,4915,2776,2139,3327,1588,528,543,2012
SD,859,795,64,512,347,138,124,2012
TN,9426,5778,3648,6905,2521,2266,1285,2012
TX,34052,17501,16551,20743,13309,6650,4364,2012
UT,3527,3052,475,2049,1478,443,330,2012
VA,8424,6995,1429,5084,3340,1646,881,2012
VI,484,106,378,438,46,193,33,2012
VT,1160,937,223,653,507,228,109,2012
WA,20504,15027,5477,11273,9231,2213,1475,2012
WI,6027,5446,581,3033,2994,487,539,2012
WV,2410,1533,877,1742,668,410,268,2012
WY,1813,475,1338,1302,511,452,311,2012
AK,1946,1741,205,1362,584,184,210,2013
AL,4689,3246,1443,3387,1302,858,511,2013
AR,3812,1664,2148,3174,638,602,462,2013
AZ,10562,7431,3131,6510,4052,1188,1222,2013
CA,118552,45554,72998,93458,25094,33112,12895,2013
CO,9754,7591,2163,4664,5090,1780,685,2013
CT,4448,3529,919,3101,1347,1046,341,2013
DC,6865,6353,512,3696,3169,2027,499,2013
DE,946,936,10,575,371,71,89,2013
FL,47862,19670,28192,31359,16503,9647,5505,2013
GA,16971,8510,8461,12880,4091,3082,1805,2013
GU,1271,128,1143,296,975,290,32,2013
HI,6335,3745,2590,3355,2980,1180,558,2013
IA,3084,2950,134,1524,1560,327,229,2013
ID,1781,1404,377,1084,697,271,208,2013
IL,13425,11229,2196,7958,5467,1574,1267,2013
IN,6096,5396,700,3751,2345,580,743,2013
KS,2693,2382,311,1480,1213,356,414,2013
KY,5245,4491,754,3302,1943,541,607,2013
